id,left,top,right,bottom,grid_area,id_2,wn_area(m2)
"366",627926.686572408,6931509.75785804,628026.686572408,6931409.75785804,"8987",way/939527896,"1698"
"367",627926.686572408,6931409.75785804,628026.686572408,6931309.75785804,"8608",way/939527896,"7559"
"368",627926.686572408,6931309.75785804,628026.686572408,6931209.75785804,"8230",way/939527896,"5560"
"369",627926.686572408,6931209.75785804,628026.686572408,6931109.75785804,"7852",way/939527896,"356"
"370",627926.686572408,6931109.75785804,628026.686572408,6931009.75785804,"7474",way/939527896,"3199"
"371",627926.686572408,6931009.75785804,628026.686572408,6930909.75785804,"7096",way/939527896,"2321"
"372",627926.686572408,6930909.75785804,628026.686572408,6930809.75785804,"6718",way/939527896,"3981"
"373",627926.686572408,6930809.75785804,628026.686572408,6930709.75785804,"6340",way/939527896,"2443"
"377",627926.686572408,6930409.75785804,628026.686572408,6930309.75785804,"4827",way/939527896,"1352"
"378",627926.686572408,6930309.75785804,628026.686572408,6930209.75785804,"4449",way/939527896,"4448"
"379",627926.686572408,6930209.75785804,628026.686572408,6930109.75785804,"4071",way/939527896,"1511"
"380",627926.686572408,6930109.75785804,628026.686572408,6930009.75785804,"3693",way/939527896,"2902"
"381",627926.686572408,6930009.75785804,628026.686572408,6929909.75785804,"3315",way/939527896,"286"
"385",627926.686572408,6929609.75785804,628026.686572408,6929509.75785804,"1802",way/939527896,"280"
"386",627926.686572408,6929509.75785804,628026.686572408,6929409.75785804,"1424",way/939527896,"489"
"387",627926.686572408,6929409.75785804,628026.686572408,6929309.75785804,"1046",way/939527896,"812"
"519",628026.686572408,6931609.75785804,628126.686572408,6931509.75785804,"10004",way/939527896,"2014"
"520",628026.686572408,6931509.75785804,628126.686572408,6931409.75785804,"10004",way/939527896,"9243"
"521",628026.686572408,6931409.75785804,628126.686572408,6931309.75785804,"10004",way/939527896,"2755"
"523",628026.686572408,6931209.75785804,628126.686572408,6931109.75785804,"10004",way/939527896,"291"
"524",628026.686572408,6931109.75785804,628126.686572408,6931009.75785804,"10004",way/939527896,"6258"
"525",628026.686572408,6931009.75785804,628126.686572408,6930909.75785804,"10004",way/939527896,"2612"
"531",628026.686572408,6930409.75785804,628126.686572408,6930309.75785804,"10004",way/939527896,"2482"
"532",628026.686572408,6930309.75785804,628126.686572408,6930209.75785804,"10004",way/939527896,"3300"
"533",628026.686572408,6930209.75785804,628126.686572408,6930109.75785804,"10004",way/939527896,"263"
"534",628026.686572408,6930109.75785804,628126.686572408,6930009.75785804,"10004",way/939527896,"1264"
"540",628026.686572408,6929509.75785804,628126.686572408,6929409.75785804,"10004",way/939527896,"81"
"541",628026.686572408,6929409.75785804,628126.686572408,6929309.75785804,"10004",way/939527896,"750"
"546",628026.686572408,6928909.75785804,628126.686572408,6928809.75785804,"9159",way/939527896,"488"
"547",628026.686572408,6928809.75785804,628126.686572408,6928709.75785804,"8781",way/939527896,"1143"
"549",628026.686572408,6928609.75785804,628126.686572408,6928509.75785804,"8025",way/939527896,"1179"
"550",628026.686572408,6928509.75785804,628126.686572408,6928409.75785804,"7647",way/939527896,"257"
"562",628026.686572408,6927309.75785804,628126.686572408,6927209.75785804,"3096",way/939527896,"134"
"671",628126.686572408,6931809.75785804,628226.686572408,6931709.75785804,"10004",way/939527896,"2936"
"672",628126.686572408,6931709.75785804,628226.686572408,6931609.75785804,"10004",way/939527896,"5964"
"673",628126.686572408,6931609.75785804,628226.686572408,6931509.75785804,"10004",way/939527896,"2339"
"674",628126.686572408,6931509.75785804,628226.686572408,6931409.75785804,"10004",way/939527896,"8613"
"688",628126.686572408,6930109.75785804,628226.686572408,6930009.75785804,"10004",way/939527896,"759"
"689",628126.686572408,6930009.75785804,628226.686572408,6929909.75785804,"10004",way/939527896,"7175"
"690",628126.686572408,6929909.75785804,628226.686572408,6929809.75785804,"10004",way/939527896,"64"
"726",628126.686572408,6926309.75785804,628226.686572408,6926209.75785804,"9329",way/939527896,"3140"
"727",628126.686572408,6926209.75785804,628226.686572408,6926109.75785804,"8952",way/939527896,"8506"
"728",628126.686572408,6926109.75785804,628226.686572408,6926009.75785804,"8575",way/939527896,"331"
"730",628126.686572408,6925909.75785804,628226.686572408,6925809.75785804,"7821",way/939527896,"365"
"731",628126.686572408,6925809.75785804,628226.686572408,6925709.75785804,"7444",way/939527896,"6147"
"732",628126.686572408,6925709.75785804,628226.686572408,6925609.75785804,"7066",way/939527896,"3150"
"734",628126.686572408,6925509.75785804,628226.686572408,6925409.75785804,"6312",way/939527896,"1725"
"735",628126.686572408,6925409.75785804,628226.686572408,6925309.75785804,"5935",way/939527896,"2042"
"736",628126.686572408,6925309.75785804,628226.686572408,6925209.75785804,"5558",way/939527896,"9"
"824",628226.686572408,6931909.75785804,628326.686572408,6931809.75785804,"10004",way/939527896,"2423"
"825",628226.686572408,6931809.75785804,628326.686572408,6931709.75785804,"10004",way/939527896,"9973"
"826",628226.686572408,6931709.75785804,628326.686572408,6931609.75785804,"10004",way/939527896,"4767"
"827",628226.686572408,6931609.75785804,628326.686572408,6931509.75785804,"10004",way/939527896,"423"
"828",628226.686572408,6931509.75785804,628326.686572408,6931409.75785804,"10004",way/939527896,"5341"
"829",628226.686572408,6931409.75785804,628326.686572408,6931309.75785804,"10004",way/939527896,"3083"
"830",628226.686572408,6931309.75785804,628326.686572408,6931209.75785804,"10004",way/939527896,"8166"
"831",628226.686572408,6931209.75785804,628326.686572408,6931109.75785804,"10004",way/939527896,"1891"
"840",628226.686572408,6930309.75785804,628326.686572408,6930209.75785804,"10004",way/939527896,"3843"
"841",628226.686572408,6930209.75785804,628326.686572408,6930109.75785804,"10004",way/939527896,"7100"
"842",628226.686572408,6930109.75785804,628326.686572408,6930009.75785804,"10004",way/939527896,"8734"
"843",628226.686572408,6930009.75785804,628326.686572408,6929909.75785804,"10004",way/939527896,"6805"
"844",628226.686572408,6929909.75785804,628326.686572408,6929809.75785804,"10004",way/939527896,"0"
"873",628226.686572408,6927009.75785804,628326.686572408,6926909.75785804,"10004",way/939527896,"291"
"874",628226.686572408,6926909.75785804,628326.686572408,6926809.75785804,"10004",way/939527896,"2018"
"875",628226.686572408,6926809.75785804,628326.686572408,6926709.75785804,"10004",way/939527896,"1704"
"880",628226.686572408,6926309.75785804,628326.686572408,6926209.75785804,"10004",way/939527896,"253"
"881",628226.686572408,6926209.75785804,628326.686572408,6926109.75785804,"10004",way/939527896,"9381"
"882",628226.686572408,6926109.75785804,628326.686572408,6926009.75785804,"10004",way/939527896,"7770"
"883",628226.686572408,6926009.75785804,628326.686572408,6925909.75785804,"10004",way/939527896,"413"
"884",628226.686572408,6925909.75785804,628326.686572408,6925809.75785804,"10004",way/939527896,"1236"
"885",628226.686572408,6925809.75785804,628326.686572408,6925709.75785804,"10004",way/939527896,"7172"
"886",628226.686572408,6925709.75785804,628326.686572408,6925609.75785804,"10004",way/939527896,"3377"
"887",628226.686572408,6925609.75785804,628326.686572408,6925509.75785804,"10004",way/939527896,"8"
"888",628226.686572408,6925509.75785804,628326.686572408,6925409.75785804,"10004",way/939527896,"8314"
"889",628226.686572408,6925409.75785804,628326.686572408,6925309.75785804,"10004",way/939527896,"9876"
"890",628226.686572408,6925309.75785804,628326.686572408,6925209.75785804,"10004",way/939527896,"1842"
"893",628226.686572408,6925009.75785804,628326.686572408,6924909.75785804,"10004",way/939527896,"55"
"905",628226.686572408,6923809.75785804,628326.686572408,6923709.75785804,"9894",way/939527896,"909"
"910",628226.686572408,6923309.75785804,628326.686572408,6923209.75785804,"8019",way/939527896,"5162"
"911",628226.686572408,6923209.75785804,628326.686572408,6923109.75785804,"7642",way/939527896,"5232"
"912",628226.686572408,6923109.75785804,628326.686572408,6923009.75785804,"7265",way/939527896,"98"
"913",628226.686572408,6923009.75785804,628326.686572408,6922909.75785804,"6888",way/939527896,"341"
"914",628226.686572408,6922909.75785804,628326.686572408,6922809.75785804,"6511",way/939527896,"5107"
"917",628226.686572408,6922609.75785804,628326.686572408,6922509.75785804,"5379",way/939527896,"921"
"918",628226.686572408,6922509.75785804,628326.686572408,6922409.75785804,"5002",way/939527896,"4892"
"919",628226.686572408,6922409.75785804,628326.686572408,6922309.75785804,"4625",way/939527896,"4625"
"920",628226.686572408,6922309.75785804,628326.686572408,6922209.75785804,"4248",way/939527896,"4248"
"921",628226.686572408,6922209.75785804,628326.686572408,6922109.75785804,"3871",way/939527896,"3775"
"922",628226.686572408,6922109.75785804,628326.686572408,6922009.75785804,"3494",way/939527896,"566"
"978",628326.686572408,6931909.75785804,628426.686572408,6931809.75785804,"10004",way/939527896,"729"
"979",628326.686572408,6931809.75785804,628426.686572408,6931709.75785804,"10004",way/939527896,"6074"
"980",628326.686572408,6931709.75785804,628426.686572408,6931609.75785804,"10004",way/939527896,"2690"
"983",628326.686572408,6931409.75785804,628426.686572408,6931309.75785804,"10004",way/939527896,"0"
"984",628326.686572408,6931309.75785804,628426.686572408,6931209.75785804,"10004",way/939527896,"1557"
"985",628326.686572408,6931209.75785804,628426.686572408,6931109.75785804,"10004",way/939527896,"296"
"994",628326.686572408,6930309.75785804,628426.686572408,6930209.75785804,"10004",way/939527896,"3097"
"995",628326.686572408,6930209.75785804,628426.686572408,6930109.75785804,"10004",way/939527896,"6142"
"996",628326.686572408,6930109.75785804,628426.686572408,6930009.75785804,"10004",way/939527896,"1468"
"1015",628326.686572408,6928209.75785804,628426.686572408,6928109.75785804,"10004",way/939527896,"59"
"1016",628326.686572408,6928109.75785804,628426.686572408,6928009.75785804,"10004",way/939527896,"8"
"1027",628326.686572408,6927009.75785804,628426.686572408,6926909.75785804,"10004",way/939527896,"1879"
"1028",628326.686572408,6926909.75785804,628426.686572408,6926809.75785804,"10004",way/939527896,"10004"
"1029",628326.686572408,6926809.75785804,628426.686572408,6926709.75785804,"10004",way/939527896,"4046"
"1035",628326.686572408,6926209.75785804,628426.686572408,6926109.75785804,"10004",way/939527896,"7108"
"1036",628326.686572408,6926109.75785804,628426.686572408,6926009.75785804,"10004",way/939527896,"10004"
"1037",628326.686572408,6926009.75785804,628426.686572408,6925909.75785804,"10004",way/939527896,"4924"
"1041",628326.686572408,6925609.75785804,628426.686572408,6925509.75785804,"10004",way/939527896,"3058"
"1042",628326.686572408,6925509.75785804,628426.686572408,6925409.75785804,"10004",way/939527896,"10004"
"1043",628326.686572408,6925409.75785804,628426.686572408,6925309.75785804,"10004",way/939527896,"9441"
"1044",628326.686572408,6925309.75785804,628426.686572408,6925209.75785804,"10004",way/939527896,"901"
"1046",628326.686572408,6925109.75785804,628426.686572408,6925009.75785804,"10004",way/939527896,"5622"
"1047",628326.686572408,6925009.75785804,628426.686572408,6924909.75785804,"10004",way/939527896,"6637"
"1059",628326.686572408,6923809.75785804,628426.686572408,6923709.75785804,"10004",way/939527896,"6359"
"1060",628326.686572408,6923709.75785804,628426.686572408,6923609.75785804,"10004",way/939527896,"4258"
"1061",628326.686572408,6923609.75785804,628426.686572408,6923509.75785804,"10004",way/939527896,"2375"
"1064",628326.686572408,6923309.75785804,628426.686572408,6923209.75785804,"10004",way/939527896,"4638"
"1065",628326.686572408,6923209.75785804,628426.686572408,6923109.75785804,"10004",way/939527896,"777"
"1067",628326.686572408,6923009.75785804,628426.686572408,6922909.75785804,"10004",way/939527896,"25"
"1068",628326.686572408,6922909.75785804,628426.686572408,6922809.75785804,"10004",way/939527896,"8401"
"1069",628326.686572408,6922809.75785804,628426.686572408,6922709.75785804,"10004",way/939527896,"2792"
"1071",628326.686572408,6922609.75785804,628426.686572408,6922509.75785804,"10004",way/939527896,"2101"
"1072",628326.686572408,6922509.75785804,628426.686572408,6922409.75785804,"10004",way/939527896,"10004"
"1073",628326.686572408,6922409.75785804,628426.686572408,6922309.75785804,"10004",way/939527896,"9937"
"1074",628326.686572408,6922309.75785804,628426.686572408,6922209.75785804,"10004",way/939527896,"8526"
"1075",628326.686572408,6922209.75785804,628426.686572408,6922109.75785804,"10004",way/939527896,"9828"
